user_id,item_id,click_count
6,0,4
6,1,3
12,4,4
29,0,0
29,3,3
29,5,4
29,6,1
29,15,4
30,1,3
30,2,0
30,3,4
30,6,4
30,7,4
30,15,3
37,0,4
37,1,4
37,6,2
38,1,3
38,5,4
38,15,4
49,0,0
49,1,3
49,15,4
49,21,1
50,7,4
51,0,0
51,1,2
51,3,0
51,6,1
51,7,4
51,13,0
51,15,3
57,6,0
57,8,4
58,1,1
58,4,4
62,4,4
62,6,0
67,1,2
67,7,0
67,8,4
101,12,4
101,15,2
104,0,0
104,1,4
104,3,2
104,5,1
104,15,0
104,20,4
108,0,2
108,1,2
108,3,2
108,5,1
108,6,0
108,7,0
108,9,1
108,15,4
108,21,0
111,8,4
132,0,1
132,15,4
146,6,0
146,8,4
146,15,0
163,3,2
163,5,3
163,6,3
163,8,1
163,15,4
174,1,2
174,2,0
174,3,4
174,6,1
174,7,0
174,13,0
174,15,4
175,2,0
175,3,2
175,6,4
175,7,4
175,9,0
175,11,1
175,15,4
175,21,0
178,4,4
178,9,0
202,0,4
202,4,0
202,15,0
202,21,1
208,0,2
208,1,1
208,5,4
208,6,1
208,7,1
208,10,2
208,13,0
208,15,0
208,18,0
221,1,4
221,5,2
223,1,2
223,3,0
223,6,4
223,15,3
225,0,4
225,1,0
225,6,2
225,13,0
225,15,4
241,1,3
241,3,0
241,5,1
241,8,0
241,15,4
248,1,4
248,5,4
252,2,4
252,15,1
265,1,2
265,6,2
265,9,0
265,13,0
265,15,4
266,0,3
266,1,3
266,6,4
266,7,3
266,15,3
274,0,0
274,1,0
274,8,4
274,13,0
274,21,0
282,1,0
282,6,0
282,7,4
282,11,0
282,17,0
301,0,2
301,2,2
301,4,1
301,15,4
301,21,0
303,1,4
303,3,2
303,5,1
303,9,3
303,21,2
318,1,2
318,2,0
318,3,3
318,5,0
318,6,1
318,7,4
318,13,0
318,15,2
324,0,0
324,1,0
324,6,4
324,7,0
340,3,1
340,5,0
340,6,1
340,8,4
340,13,0
340,21,0
341,0,0
341,1,4
341,3,3
341,5,4
341,6,1
341,15,4
341,20,2
341,21,0
352,12,4
354,0,3
354,1,4
354,3,3
354,5,3
354,7,1
354,8,4
354,20,1
359,2,2
359,3,4
359,7,3
359,11,0
379,0,0
379,1,2
379,3,4
379,15,3
381,1,4
381,5,4
391,1,4
391,5,4
391,15,0
391,20,0
395,1,1
395,15,4
410,5,4
410,15,1
414,3,2
414,5,4
414,13,0
414,15,0
419,2,3
419,3,2
419,15,3
441,0,4
441,1,2
441,7,2
441,15,3
453,0,1
453,3,3
453,5,1
453,6,3
453,7,1
453,11,1
453,15,4
454,5,4
454,15,4
470,0,2
470,1,3
470,5,0
470,6,0
470,7,2
470,9,0
470,15,2
470,21,1
473,0,4
473,1,3
473,3,2
473,7,4
473,8,4
473,15,3
491,1,1
491,2,3
491,5,0
491,6,0
491,7,3
491,15,3
505,3,2
505,4,4
505,5,0
